source_file,policy,pressure,workload,scan_id,offset_after_scan,request_id,ok,prompt_tokens,cached_tokens,hit_rate,ttft_ms,latency_ms
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,1,w4-hot-000048,True,194,2,0.010309278350515464,679.5497313141823,679.5497313141823
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,2,w4-hot-000049,True,226,3,0.01327433628318584,682.8057318925858,682.8057318925858
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,3,w4-hot-000050,True,258,2,0.007751937984496124,686.7243312299252,686.7243312299252
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,4,w4-hot-000051,True,290,2,0.006896551724137931,718.3495759963989,718.3495759963989
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,5,w4-hot-000052,True,322,297,0.922360248447205,643.0834420025349,643.0834420025349
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,6,w4-hot-000053,True,354,2,0.005649717514124294,720.411129295826,720.411129295826
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,7,w4-hot-000054,True,387,2,0.00516795865633075,735.7052974402905,735.7052974402905
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,8,w4-hot-000055,True,420,2,0.004761904761904762,735.4901358485222,735.4901358485222
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,9,w4-hot-000056,True,453,2,0.004415011037527594,736.7272153496742,736.7272153496742
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,10,w4-hot-000057,True,194,2,0.010309278350515464,680.0395846366882,680.0395846366882
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,11,w4-hot-000058,True,233,3,0.012875536480686695,687.0803534984589,687.0803534984589
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,12,w4-hot-000059,True,266,3,0.011278195488721804,718.237042427063,718.237042427063
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,13,w4-hot-000060,True,299,3,0.010033444816053512,719.7163477540016,719.7163477540016
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,14,w4-hot-000061,True,332,3,0.009036144578313253,719.6440510451794,719.6440510451794
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,15,w4-hot-000062,True,365,3,0.00821917808219178,721.92357853055,721.92357853055
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,16,w4-hot-000063,True,399,3,0.007518796992481203,734.4971336424351,734.4971336424351
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,17,w4-hot-000064,True,194,169,0.8711340206185567,642.5799280405045,642.5799280405045
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,18,w4-hot-000065,True,226,201,0.8893805309734514,640.5552811920643,640.5552811920643
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,19,w4-hot-000066,True,258,233,0.9031007751937985,642.2559805214405,642.2559805214405
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,20,w4-hot-000067,True,290,265,0.9137931034482759,643.2281248271465,643.2281248271465
