workload,trace,policy,pool_size,requests,prompt_tokens,cached_tokens,hit_rate,insert_prefix_hits,evict_calls,evicted_tokens,final_cache_tokens,max_cache_tokens,elapsed_sec
w1,w1_main_seed20260708,lru,10000,684,170100,58554,0.3442328042328042,58554,450,101563,9983,10000,0.22477204000006168
w1,w1_main_seed20260708,lru,45000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.41019209000000956
w1,w1_main_seed20260708,lru,90000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.40219255199997406
w1,w1_main_seed20260708,lru,180000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.3933029270000361
w1,w1_main_seed20260708,lfu,10000,684,170100,96421,0.566848912404468,96421,339,63865,9814,10000,0.17012736499998482
w1,w1_main_seed20260708,lfu,45000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.46623340300004656
w1,w1_main_seed20260708,lfu,90000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.4010014189999538
w1,w1_main_seed20260708,lfu,180000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.4101164769999741
w1,w1_main_seed20260708,fifo,10000,684,170100,61447,0.36124044679600237,61447,437,98659,9994,10000,0.17741480500001217
w1,w1_main_seed20260708,fifo,45000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.4043269190000274
w1,w1_main_seed20260708,fifo,90000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.4099191940000537
w1,w1_main_seed20260708,fifo,180000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.41411828399998285
w1,w1_main_seed20260708,slru,10000,684,170100,96421,0.566848912404468,96421,339,63865,9814,10000,0.18255156899999747
w1,w1_main_seed20260708,slru,45000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.39452448299994103
w1,w1_main_seed20260708,slru,90000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.4018761639999866
w1,w1_main_seed20260708,slru,180000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.39391998300004616
w1,w1_main_seed20260708,2q,10000,684,170100,89440,0.5258083480305703,89440,350,70664,9996,10000,0.2283641940000507
w1,w1_main_seed20260708,2q,45000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.43617047200007164
w1,w1_main_seed20260708,2q,90000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.43228874800001904
w1,w1_main_seed20260708,2q,180000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.4292862549999654
w2,w2_main_seed20260708,lru,10000,5120,2830080,94281,0.03331389925373134,94281,4887,2726648,9151,10000,1.8532769930000086
w2,w2_main_seed20260708,lru,45000,5120,2830080,131223,0.04636724050203528,131223,4395,2654178,44679,45000,2.595504152999979
w2,w2_main_seed20260708,lru,90000,5120,2830080,253286,0.08949782338308458,253286,3905,2487443,89351,90000,4.088418602000047
w2,w2_main_seed20260708,lru,180000,5120,2830080,654628,0.23131077566711894,654628,2945,1995767,179685,180000,8.130126925000013
w2,w2_main_seed20260708,lfu,10000,5120,2830080,101120,0.03573043871551334,101120,4908,2719595,9365,10000,1.9256928330000846
w2,w2_main_seed20260708,lfu,45000,5120,2830080,253686,0.08963916214382632,253686,4299,2532024,44370,45000,3.7997424100000217
w2,w2_main_seed20260708,lfu,90000,5120,2830080,588670,0.20800472071460877,588670,3788,2152140,89270,90000,6.616895349999936
w2,w2_main_seed20260708,lfu,180000,5120,2830080,1213361,0.42873735018091363,1213361,3010,1437287,179432,180000,11.081362581999997
