workload,trace,policy,pool_size,requests,prompt_tokens,cached_tokens,hit_rate,insert_prefix_hits,evict_calls,evicted_tokens,final_cache_tokens,max_cache_tokens,elapsed_sec
w1,w1_main_seed20260708,lru,10000,684,170100,58554,0.3442328042328042,58554,450,101563,9983,10000,0.19387320099997396
w1,w1_main_seed20260708,lru,45000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.4710502909999832
w1,w1_main_seed20260708,lru,90000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.4596752559999686
w1,w1_main_seed20260708,lru,180000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.4649184479999917
w1,w1_main_seed20260708,lfu,10000,684,170100,96421,0.566848912404468,96421,339,63865,9814,10000,0.18847518299998
w1,w1_main_seed20260708,lfu,45000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.5004852950000327
w1,w1_main_seed20260708,lfu,90000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.4276634720000061
w1,w1_main_seed20260708,lfu,180000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.41687272900003336
w1,w1_main_seed20260708,fifo,10000,684,170100,61447,0.36124044679600237,61447,437,98659,9994,10000,0.18118758800000023
w1,w1_main_seed20260708,fifo,45000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.42733494599997357
w1,w1_main_seed20260708,fifo,90000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.39685850600000094
w1,w1_main_seed20260708,fifo,180000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.3977055760000212
w1,w1_main_seed20260708,slru,10000,684,170100,96421,0.566848912404468,96421,339,63865,9814,10000,0.1699064360000193
w1,w1_main_seed20260708,slru,45000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.39781188099999554
w1,w1_main_seed20260708,slru,90000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.4014586220000069
w1,w1_main_seed20260708,slru,180000,684,170100,140555,0.8263080540858319,140555,0,0,29545,29545,0.38953502600003276
w2,w2_main_seed20260708,lru,10000,5120,2830080,94281,0.03331389925373134,94281,4887,2726648,9151,10000,1.832184476000009
w2,w2_main_seed20260708,lru,45000,5120,2830080,131223,0.04636724050203528,131223,4395,2654178,44679,45000,2.5654032349999625
w2,w2_main_seed20260708,lru,90000,5120,2830080,253286,0.08949782338308458,253286,3905,2487443,89351,90000,3.8338794619999703
w2,w2_main_seed20260708,lru,180000,5120,2830080,654628,0.23131077566711894,654628,2945,1995767,179685,180000,7.1737159959999985
w2,w2_main_seed20260708,lfu,10000,5120,2830080,101120,0.03573043871551334,101120,4908,2719595,9365,10000,1.9511644290000163
w2,w2_main_seed20260708,lfu,45000,5120,2830080,253686,0.08963916214382632,253686,4299,2532024,44370,45000,3.684065259000022
w2,w2_main_seed20260708,lfu,90000,5120,2830080,588670,0.20800472071460877,588670,3788,2152140,89270,90000,6.999608120000005
